id_original -> id_final | titre | fichier paroles
124 -> 125 | Tiens moi par la main | paroles/tiens-moi-par-la-main.txt  <-- renuméroté
125 -> 126 | Tout va bien | paroles/tout-va-bien.txt  <-- renuméroté
126 -> 127 | Tu es souverain | paroles/tu-es-souverain.txt  <-- renuméroté
127 -> 128 | Gloire à l'agneau de Dieu | paroles/gloire-a-lagneau-de-dieu.txt  <-- renuméroté
128 -> 129 | Reçois l'honneur | paroles/recois-lhonneur.txt  <-- renuméroté
129 -> 130 | Dis juste un mot | paroles/dis-juste-un-mot.txt  <-- renuméroté
130 -> 131 | Oh Lord | paroles/oh-lord.txt  <-- renuméroté
131 -> 132 | I'm waiting for you | paroles/im-waiting-for-you.txt  <-- renuméroté
132 -> 133 | Tu as promis | paroles/tu-as-promis.txt  <-- renuméroté
133 -> 134 | Je me prosterne | paroles/je-me-prosterne.txt  <-- renuméroté
134 -> 135 | Juste en peu de toi | paroles/juste-en-peu-de-toi.txt  <-- renuméroté
135 -> 136 | Plus de toi | paroles/plus-de-toi.txt  <-- renuméroté
136 -> 137 | L'amour de Dieu | paroles/lamour-de-dieu.txt  <-- renuméroté
137 -> 138 | Magnifique en saintété | paroles/magnifique-en-saintete.txt  <-- renuméroté
138 -> 139 | Adonai sois magnifié | paroles/adonai-sois-magnifie.txt  <-- renuméroté
139 -> 140 | Abba | paroles/abba.txt  <-- renuméroté
140 -> 141 | Yeshuah Messiah | paroles/yeshuah-messiah.txt  <-- renuméroté
141 -> 142 | Hosanna eh | paroles/hosanna-eh.txt  <-- renuméroté
142 -> 143 | Reçois mon adoration | paroles/recois-mon-adoration.txt  <-- renuméroté
143 -> 144 | Ta présence je la veux | paroles/ta-presence-je-la-veux.txt  <-- renuméroté
